ID,timestamp,temp_1,temp_2,mean_national_temp,humidity_1,humidity_2,loc_1,loc_2,loc_secondary_1,loc_secondary_2,loc_secondary_3,consumption_secondary_1,consumption_secondary_2,consumption_secondary_3
0,2016-11-01T00:00:00.0,8.3,,11.1,95.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",143,74,168
1,2016-11-01T01:00:00.0,8.0,,11.1,98.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",141,60,162
2,2016-11-01T02:00:00.0,6.8,,11.0,97.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",142,60,164
3,2016-11-01T03:00:00.0,7.5,,10.9,99.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",139,60,162
4,2016-11-01T04:00:00.0,6.1,,10.8,98.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",154,60,164
5,2016-11-01T05:00:00.0,5.4,,10.7,98.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",184,62,167
6,2016-11-01T06:00:00.0,5.0,,10.5,99.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",182,78,173
7,2016-11-01T07:00:00.0,5.1,,10.2,99.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",165,79,175
8,2016-11-01T08:00:00.0,4.7,,10.2,99.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",157,80,176
9,2016-11-01T09:00:00.0,5.5,,10.3,100.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",153,86,175
10,2016-11-01T10:00:00.0,8.6,,10.7,100.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",149,83,177
11,2016-11-01T11:00:00.0,10.4,,11.4,98.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",153,82,176
12,2016-11-01T12:00:00.0,12.4,,12.3,88.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",137,75,175
13,2016-11-01T13:00:00.0,13.9,,13.2,80.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",139,77,176
14,2016-11-01T14:00:00.0,15.7,,13.4,70.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",138,79,176
15,2016-11-01T15:00:00.0,15.0,,13.7,78.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",139,77,175
16,2016-11-01T16:00:00.0,14.7,,13.9,82.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",150,84,175
17,2016-11-01T17:00:00.0,14.1,,13.2,81.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",150,84,174
18,2016-11-01T18:00:00.0,13.5,,12.4,87.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",162,89,177
19,2016-11-01T19:00:00.0,12.8,,11.6,87.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",163,80,176
20,2016-11-01T20:00:00.0,11.7,,11.4,95.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",154,75,171
21,2016-11-01T21:00:00.0,11.0,,11.2,91.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",141,72,172
22,2016-11-01T22:00:00.0,10.9,,11.1,93.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",140,68,166
23,2016-11-01T23:00:00.0,10.8,,11.1,87.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",143,67,162
24,2016-11-02T00:00:00.0,10.8,,11.1,86.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",144,75,161
25,2016-11-02T01:00:00.0,10.5,,11.0,81.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",141,65,161
26,2016-11-02T02:00:00.0,10.2,,11.0,79.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",141,64,161
27,2016-11-02T03:00:00.0,9.9,,11.0,78.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",140,65,161
28,2016-11-02T04:00:00.0,8.0,,11.0,84.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",155,66,161
29,2016-11-02T05:00:00.0,6.8,,10.9,90.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",176,74,163
30,2016-11-02T06:00:00.0,6.1,,10.8,92.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",192,102,188
31,2016-11-02T07:00:00.0,5.6,,10.7,90.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",199,104,239
32,2016-11-02T08:00:00.0,5.0,,10.7,90.0,,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",231,137,292
33,2016-11-02T09:00:00.0,6.1,13.7,10.7,87.0,88.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",279,173,358
34,2016-11-02T10:00:00.0,8.2,16.1,10.9,77.0,77.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",300,198,385
35,2016-11-02T11:00:00.0,9.3,17.9,11.2,68.0,72.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",291,212,399
36,2016-11-02T12:00:00.0,9.6,19.2,11.6,65.0,60.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",267,193,378
37,2016-11-02T13:00:00.0,9.6,19.4,12.1,71.0,60.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",260,181,373
38,2016-11-02T14:00:00.0,9.6,19.6,12.1,57.0,58.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",218,207,386
39,2016-11-02T15:00:00.0,11.0,19.8,12.2,56.0,54.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",230,225,387
40,2016-11-02T16:00:00.0,10.2,19.3,12.3,61.0,56.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",268,224,372
41,2016-11-02T17:00:00.0,9.2,18.6,11.7,67.0,53.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",256,213,344
42,2016-11-02T18:00:00.0,7.6,16.2,11.1,73.0,56.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",230,196,306
43,2016-11-02T19:00:00.0,6.2,15.7,10.5,81.0,50.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",203,160,267
44,2016-11-02T20:00:00.0,5.2,14.1,10.3,85.0,58.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",170,134,234
45,2016-11-02T21:00:00.0,4.6,12.8,10.2,89.0,69.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",151,131,212
46,2016-11-02T22:00:00.0,5.0,11.5,10.2,90.0,77.0,"(50.633, 3.067)","(43.530, 5.447)","(44.838, -0.579)","(47.478, -0.563)","(48.867, 2.333)",149,131,204
