ID,consumption_1,consumption_2
0,100,93
1,101,94
2,100,96
3,101,95
4,100,100
5,100,110
6,115,110
7,145,108
8,141,110
9,143,109
10,145,106
11,144,105
12,143,107
13,138,107
14,137,102
15,136,100
16,136,100
17,147,103
18,142,115
19,140,116
20,137,118
21,115,115
22,111,114
23,108,107
24,107,97
25,105,98
26,105,97
27,104,97
28,103,101
29,101,113
30,117,119
31,193,152
32,222,157
33,239,171
34,237,163
35,227,179
36,213,173
37,220,154
38,229,134
39,229,128
40,225,123
41,218,123
42,191,125
43,167,117
44,145,121
45,118,115
46,107,107
47,103,98
48,102,91
49,97,92
50,97,94
51,97,93
52,101,100
53,96,112
54,116,125
55,194,175
56,240,209
57,265,238
58,274,235
59,273,235
60,251,227
61,244,220
62,259,190
63,252,175
64,250,157
65,243,148
66,215,148
67,184,145
68,171,139
69,135,135
70,123,120
71,122,112
72,107,103
73,104,106
74,103,104
75,102,106
76,100,112
77,100,123
78,119,136
79,185,186
80,244,239
81,286,263
82,293,255
83,294,263
84,251,236
85,233,221
86,294,188
87,327,183
88,243,164
89,224,156
90,209,136
91,186,127
92,154,122
93,147,122
94,135,116
95,111,107
96,110,99
97,101,97
98,100,98
99,104,99
100,112,105
101,108,113
102,104,115
103,103,115
104,114,118
105,119,121
106,111,127
107,111,126
108,138,118
109,134,115
110,133,125
111,135,126
112,139,125
113,139,119
114,146,113
115,149,112
116,121,112
117,116,111
118,108,113
119,111,108
120,115,100
121,114,96
122,113,98
123,110,99
124,114,104
125,112,112
126,111,112
127,111,112
128,111,114
129,110,114
130,103,113
131,103,114
132,103,115
133,104,115
134,105,115
135,107,113
136,113,112
137,117,116
138,132,121
139,150,124
140,130,121
141,118,122
142,114,122
143,111,117
144,105,109
145,103,110
146,102,110
147,101,111
148,103,119
149,102,127
150,121,137
151,194,232
152,266,305
153,291,308
154,304,292
155,302,295
156,289,296
157,286,286
158,293,253
159,290,251
160,285,251
161,269,232
162,227,191
163,208,173
164,201,166
165,164,160
166,159,153
167,177,149
168,175,149
169,145,152
170,139,152
171,145,155
172,149,155
173,146,157
174,158,173
175,210,252
176,236,288
177,250,285
178,264,284
179,257,275
180,247,277
181,265,285
182,313,250
183,311,244
184,310,245
185,294,237
186,258,196
187,225,171
188,202,160
189,152,154
190,143,151
191,176,148
192,175,151
193,160,151
194,137,148
195,137,152
196,136,151
197,137,152
198,155,168
199,213,243
200,261,298
201,276,309
202,287,317
203,293,334
204,267,326
205,265,302
206,289,262
207,294,246
208,297,241
209,266,225
210,238,184
211,225,166
212,214,162
213,194,160
214,196,154
215,190,148
216,189,148
217,179,150
218,168,151
219,131,150
220,131,153
221,134,155
222,155,172
223,191,234
224,226,255
225,247,297
226,251,285
227,242,282
228,244,277
229,246,268
230,248,241
231,261,221
232,258,204
233,244,176
234,229,164
235,203,160
236,198,152
237,170,149
238,156,141
239,183,137
240,178,137
241,179,136
242,177,137
243,166,135
244,146,136
245,138,138
246,147,137
247,161,139
248,157,141
249,155,139
250,156,139
251,156,134
252,163,134
253,169,130
254,165,129
255,165,131
256,160,131
257,180,133
258,187,139
259,180,142
260,173,141
261,173,141
262,165,140
263,140,140
264,157,142
265,169,141
266,169,143
267,163,143
268,153,143
269,149,144
270,146,147
271,146,146
272,144,144
273,163,145
274,192,142
275,188,138
276,170,136
277,178,138
278,194,133
279,180,129
280,190,132
281,215,137
282,227,146
283,221,149
284,214,149
285,206,146
286,201,147
287,196,151
288,190,148
289,192,149
290,167,147
291,141,146
292,142,147
293,143,147
294,144,149
295,143,146
296,145,143
297,141,145
298,141,144
299,144,143
300,148,142
301,150,137
302,153,133
303,150,135
304,166,134
305,196,140
306,194,143
307,183,144
308,182,151
309,193,148
310,186,143
311,171,140
312,163,145
313,152,146
314,153,145
315,153,143
316,152,143
317,156,145
318,172,157
319,220,235
320,262,303
321,285,336
322,300,343
323,315,337
324,293,311
325,290,312
326,303,281
327,306,284
328,305,271
329,284,254
330,251,200
331,238,186
332,227,177
333,200,168
334,210,157
335,197,158
336,178,155
337,160,155
338,153,156
339,147,158
340,146,158
341,139,161
342,163,176
343,216,241
344,262,293
345,282,303
346,303,300
347,310,307
348,282,284
349,277,294
350,291,273
351,295,266
352,312,273
353,299,245
354,271,185
355,260,173
356,236,167
357,213,164
358,218,154
359,214,154
360,214,149
361,211,151
362,204,153
363,195,154
364,167,152
365,155,155
366,164,169
367,221,245
368,239,311
369,250,319
370,266,307
371,261,315
372,256,260
373,254,259
374,257,236
375,267,240
376,276,254
377,277,235
378,258,196
379,249,196
380,234,181
381,226,173
382,207,152
383,204,151
384,201,152
385,193,154
386,187,153
387,177,156
388,169,157
389,163,158
390,171,170
391,211,257
392,215,300
393,243,363
394,285,403
395,290,306
396,291,290
397,284,282
398,294,250
399,304,248
400,308,218
401,304,208
402,272,199
403,239,187
404,218,178
405,218,171
406,202,156
407,212,155
408,223,155
409,183,156
410,169,156
411,163,159
412,151,158
413,143,159
414,153,165
415,207,227
416,230,308
417,250,323
418,283,306
419,297,302
420,284,273
421,274,279
422,303,272
423,318,265
424,329,249
425,302,206
426,274,170
427,229,159
428,202,149
429,203,143
430,212,136
431,206,131
432,207,131
433,217,132
434,201,134
435,191,134
436,182,132
437,182,133
438,186,133
439,192,139
440,201,148
441,198,149
442,189,155
443,196,160
444,193,144
445,188,142
446,189,146
447,200,147
448,285,149
449,315,142
450,344,137
451,323,137
452,314,141
453,298,138
454,315,138
455,309,137
456,307,136
457,331,139
458,339,138
459,341,137
460,313,137
461,252,137
462,183,138
463,157,136
464,145,135
465,134,132
466,133,133
467,136,131
468,130,133
469,127,133
470,125,132
471,123,132
472,130,133
473,141,138
474,154,143
475,152,143
476,148,140
477,146,136
478,145,133
479,142,132
480,141,133
481,141,129
482,143,130
483,140,128
484,138,128
485,135,127
486,141,142
487,185,197
488,218,262
489,246,288
490,262,308
491,260,330
492,253,311
493,254,299
494,281,280
495,273,277
496,271,266
497,266,243
498,237,183
499,237,176
500,207,161
501,172,159
502,158,145
503,134,135
504,128,136
505,126,134
506,127,134
507,124,135
508,124,135
509,125,137
510,139,153
511,197,229
512,244,277
513,270,302
514,290,301
515,292,305
516,260,277
517,262,267
518,312,246
519,308,261
520,293,263
521,290,241
522,238,186
523,212,177
524,173,170
525,142,159
526,135,142
527,130,137
528,128,138
529,127,136
530,125,138
531,111,138
532,110,137
533,109,138
534,127,152
535,198,214
536,244,265
537,265,285
538,284,296
539,295,289
540,266,274
541,259,253
542,270,236
543,291,241
544,302,232
545,277,220
546,232,189
547,211,180
548,186,174
549,138,165
550,112,158
551,106,147
552,106,149
553,106,155
554,108,154
555,107,153
556,109,152
557,107,151
558,138,166
559,205,228
560,262,259
561,299,280
562,322,269
563,310,274
564,291,293
565,278,297
566,276,259
567,274,263
568,279,232
569,264,201
570,228,189
571,206,177
572,177,161
573,142,162
574,114,144
575,103,141
576,101,140
577,101,136
578,103,135
579,103,136
580,102,136
581,102,141
582,123,152
583,190,209
584,226,285
585,260,286
586,270,298
587,263,286
588,234,267
589,235,251
590,270,241
591,268,211
592,253,200
593,226,192
594,210,175
595,188,167
596,161,158
597,158,147
598,141,150
599,116,146
600,115,142
601,117,129
602,118,128
603,116,126
604,116,128
605,118,129
606,119,133
607,114,136
608,124,142
609,114,149
610,117,154
611,115,156
612,117,155
613,117,160
614,107,163
615,109,167
616,122,170
617,156,190
618,147,193
619,142,195
620,152,196
621,148,199
622,138,193
623,130,201
624,107,205
625,105,203
626,104,204
627,105,204
628,107,203
629,106,181
630,98,160
631,98,147
632,106,148
633,104,150
634,98,146
635,98,136
636,97,133
637,94,127
638,94,129
639,94,128
640,103,131
641,106,140
642,108,148
643,107,148
644,121,143
645,120,141
646,117,134
647,111,137
648,111,135
649,106,135
650,105,136
651,113,135
652,111,135
653,110,134
654,126,150
655,203,203
656,247,299
657,272,324
658,301,333
659,302,329
660,283,299
661,288,284
662,285,272
663,291,276
664,290,271
665,274,248
666,241,186
667,214,169
668,195,166
669,149,159
670,133,143
671,137,144
672,133,142
673,132,143
674,132,142
675,131,149
676,131,150
677,132,149
678,144,164
679,215,224
680,257,300
681,293,304
682,302,310
683,296,312
684,282,297
685,285,285
686,288,283
687,288,267
688,289,264
689,270,241
690,252,179
691,223,165
692,181,156
693,146,149
694,125,138
695,125,140
696,129,140
697,126,140
698,126,143
699,125,144
700,123,145
701,124,146
702,139,162
703,215,241
704,252,299
705,274,306
706,291,302
707,278,309
708,255,283
709,252,261
710,259,234
711,267,231
712,269,230
713,260,228
714,228,184
715,201,170
716,175,162
717,146,162
718,135,153
719,136,150
720,130,150
721,125,153
722,124,153
723,123,152
724,123,157
725,123,154
726,136,172
727,212,240
728,282,278
729,309,295
730,314,307
731,302,314
732,281,307
733,271,304
734,273,247
735,280,227
736,282,217
737,280,213
738,254,207
739,207,198
740,181,186
741,177,172
742,170,158
743,162,156
744,148,157
745,144,160
746,139,162
747,139,161
748,140,163
749,135,164
750,150,178
751,204,271
752,253,340
753,260,347
754,287,347
755,274,355
756,259,346
757,254,315
758,275,278
759,275,278
760,260,262
761,240,234
762,195,184
763,174,162
764,157,162
765,135,163
766,121,158
767,96,158
768,96,157
769,95,160
770,94,161
771,95,162
772,102,163
773,107,160
774,111,159
775,113,162
776,125,171
777,125,179
778,131,191
779,129,185
780,119,161
781,108,161
782,113,163
783,117,159
784,121,158
785,127,158
786,125,147
787,124,148
788,128,149
789,126,148
790,121,149
791,117,146
792,114,147
793,113,147
794,110,149
795,111,148
796,114,150
797,112,149
798,113,149
799,112,151
800,113,148
801,114,146
802,114,144
803,114,151
804,116,148
805,113,147
806,111,148
807,113,142
808,113,141
809,115,143
810,117,146
811,115,145
812,116,145
813,119,154
814,117,152
815,113,145
816,114,145
817,113,145
818,114,148
819,113,146
820,115,147
821,116,146
822,165,159
823,209,240
824,264,303
825,289,338
826,295,333
827,297,341
828,275,324
829,272,291
830,283,267
831,280,257
832,272,267
833,265,236
834,229,192
835,191,176
836,168,164
837,137,153
838,123,138
839,118,139
840,118,137
841,114,138
842,116,138
843,119,140
844,119,139
845,125,141
846,141,161
847,216,252
848,264,313
849,307,352
850,311,344
851,303,351
852,274,306
853,259,300
854,274,268
855,280,262
856,281,268
857,277,240
858,255,182
859,221,171
860,202,169
861,166,159
862,145,144
863,127,136
864,119,138
865,119,137
866,121,139
867,123,139
868,119,142
869,118,145
870,142,155
871,225,230
872,273,283
873,296,321
874,300,319
875,311,321
876,288,281
877,277,258
878,293,233
879,290,235
880,290,244
881,277,230
882,228,183
883,193,168
884,179,162
885,145,157
886,134,147
887,130,146
888,127,145
889,124,149
890,121,148
891,121,151
892,121,151
893,121,152
894,145,170
895,210,255
896,285,302
897,322,315
898,338,311
899,326,321
900,286,313
901,275,286
902,279,233
903,282,228
904,290,212
905,285,208
906,246,191
907,218,178
908,199,166
909,158,169
910,123,151
911,123,151
912,124,154
913,129,153
914,123,156
915,120,156
916,119,158
917,121,160
918,141,177
919,201,287
920,241,388
921,266,449
922,291,359
923,285,326
924,268,304
925,254,289
926,276,269
927,272,262
928,257,260
929,242,231
930,214,171
931,188,170
932,171,165
933,163,157
934,146,151
935,116,147
936,116,150
937,109,147
938,114,147
939,113,148
940,123,147
941,112,147
942,118,150
943,122,153
944,126,159
945,126,165
946,132,162
947,129,160
948,132,149
949,136,149
950,136,149
951,132,148
952,132,146
953,136,148
954,131,145
955,123,152
956,119,148
957,122,147
958,123,148
959,118,152
960,118,149
961,114,149
962,116,148
963,113,151
964,115,151
965,113,153
966,116,153
967,115,153
968,114,154
969,114,153
970,113,157
971,112,155
972,112,158
973,114,154
974,115,150
975,115,146
976,125,144
977,125,150
978,117,156
979,119,157
980,121,162
981,121,159
982,120,159
983,118,158
984,115,157
985,116,158
986,116,160
987,113,162
988,113,164
989,114,163
990,135,177
991,202,273
992,243,322
993,281,349
994,305,346
995,303,349
996,287,330
997,287,295
998,307,259
999,304,258
1000,295,263
1001,283,274
1002,245,222
1003,220,202
1004,194,195
1005,156,192
1006,130,178
1007,121,176
1008,120,179
1009,115,180
1010,114,183
1011,116,184
1012,117,186
1013,115,185
1014,140,211
1015,214,268
1016,267,329
1017,291,350
1018,308,327
1019,306,308
1020,281,289
1021,290,284
1022,305,243
1023,301,251
1024,307,256
1025,289,254
1026,261,211
1027,219,191
1028,197,177
1029,166,172
1030,142,160
1031,125,158
1032,127,159
1033,124,159
1034,122,160
1035,122,159
1036,120,162
1037,123,162
1038,151,176
1039,210,245
1040,262,327
1041,287,332
1042,293,333
1043,292,334
1044,274,311
1045,271,290
1046,282,269
1047,292,260
1048,295,265
1049,283,251
1050,254,214
1051,228,201
1052,189,182
1053,138,172
1054,129,161
1055,122,161
1056,121,162
1057,119,159
1058,118,161
1059,118,162
1060,117,163
1061,116,166
1062,142,182
1063,211,275
1064,286,311
1065,323,324
1066,346,311
1067,349,299
1068,297,283
1069,276,268
1070,295,244
1071,308,242
1072,294,235
1073,288,238
1074,250,230
1075,218,187
1076,180,162
1077,155,148
1078,132,128
1079,120,118
1080,120,116
1081,117,118
1082,117,118
1083,114,118
1084,114,118
1085,114,120
1086,134,134
1087,211,207
1088,265,282
1089,288,302
1090,286,294
1091,294,287
1092,262,273
1093,256,243
1094,264,221
1095,265,185
1096,256,170
1097,231,151
1098,219,118
1099,193,108
1100,166,100
1101,162,98
1102,151,99
1103,128,96
1104,112,96
1105,109,95
1106,108,96
1107,112,99
1108,113,100
1109,112,101
1110,115,105
1111,118,104
1112,123,105
1113,120,114
1114,119,112
1115,116,111
1116,116,104
1117,114,95
1118,115,98
1119,114,100
1120,116,97
1121,113,107
1122,112,108
1123,116,108
1124,122,108
1125,114,109
1126,114,105
1127,112,105
1128,113,107
1129,112,107
1130,109,108
1131,109,108
1132,110,108
1133,111,111
1134,107,113
1135,107,112
1136,108,112
1137,109,113
1138,111,110
1139,109,100
1140,115,95
1141,110,93
1142,111,89
1143,111,86
1144,110,87
1145,110,90
1146,113,92
1147,112,99
1148,114,101
1149,115,100
1150,113,101
1151,112,100
1152,109,100
1153,105,100
1154,105,100
1155,106,100
1156,104,102
1157,105,102
1158,131,105
1159,187,111
1160,198,51
1161,204,0
1162,211,0
1163,209,0
1164,204,62
1165,203,100
1166,207,91
1167,202,91
1168,202,93
1169,189,96
1170,183,95
1171,176,97
1172,149,93
1173,125,93
1174,114,92
1175,109,92
1176,111,96
1177,112,92
1178,110,92
1179,113,91
1180,114,90
1181,113,90
1182,132,91
1183,192,90
1184,208,91
1185,210,91
1186,211,89
1187,197,90
1188,181,88
1189,186,88
1190,190,87
1191,191,85
1192,186,83
1193,179,89
1194,174,90
1195,165,92
1196,140,89
1197,120,90
1198,120,89
1199,116,90
1200,117,89
1201,111,93
1202,112,90
1203,111,93
1204,111,93
1205,111,92
1206,135,92
1207,196,92
1208,201,90
1209,181,88
1210,179,86
1211,166,86
1212,161,91
1213,161,86
1214,180,82
1215,168,82
1216,163,85
1217,155,87
1218,147,87
1219,145,88
1220,147,92
1221,137,90
1222,126,90
1223,122,92
1224,122,93
1225,120,92
1226,111,90
1227,109,91
1228,107,91
1229,111,93
1230,119,92
1231,160,93
1232,170,89
1233,175,91
1234,175,90
1235,166,85
1236,161,86
1237,164,85
1238,160,80
1239,155,79
1240,140,79
1241,126,83
1242,116,89
1243,113,92
1244,108,92
1245,108,96
1246,104,92
1247,102,95
1248,104,95
1249,105,95
1250,105,98
